Retrieved by E4-Web: 2014/06/12,18:51:45                             1 0  0    0
 1.002550+5 2.528990+2         -1          0          0          29936 1451    1
 0.000000+0 1.000000+0          0          0          0          69936 1451    2
 1.000000+0 2.000000+7          1          0         11          79936 1451    3
 0.000000+0 0.000000+0          0          0         10          39936 1451    4
100-Fm-255            EVAL-JUL89 T.R. ENGLAND ET AL               9936 1451    5
 ENDF-349             DIST-DEC06 REV1-OCT92            20111222   9936 1451    6
----ENDF/B-VII.1      MATERIAL 9936         REVISION 1            9936 1451    7
-----NEUTRON-INDUCED FISSION PRODUCT YIELDS                       9936 1451    8
------ENDF-6 FORMAT                                               9936 1451    9
                                                                  9936 1451   10
 REFERENCE: T.R. ENGLAND, B.F. RIDER, EVALUATION AND              9936 1451   11
  COMPILATION OF FISSION-PRODUCT YIELDS, 1992, ENDF-349           9936 1451   12
----FORMATTED BY D.C. GEORGE                                      9936 1451   13
                                                                  9936 1451   14
                                1        451         17          29936 1451   15
                                8        454        824          29936 1451   16
                                8        459        824          29936 1451   17
 0.000000+0 0.000000+0          0          0          0          09936 1  099999
 0.000000+0 0.000000+0          0          0          0          09936 0  0    0
 1.002550+5 2.528990+2          1          0          0          09936 8454    1
 2.530000-2 0.000000+0          0          0       4932       12339936 8454    2
 2.306600+4 0.000000+0 1.31208-17 8.39730-18 2.406600+4 0.000000+09936 8454    3
 6.93988-13 4.44153-13 2.406700+4 0.000000+0 1.98000-14 1.26720-149936 8454    4
 2.406800+4 0.000000+0 0.000000+0 0.000000+0 2.406900+4 0.000000+09936 8454    5
 1.25099-17 8.00633-18 2.407000+4 0.000000+0 0.000000+0 0.000000+09936 8454    6
 2.506600+4 0.000000+0 1.660000-9 1.062400-9 2.506700+4 0.000000+09936 8454    7
 1.64000-10 1.04960-10 2.506800+4 0.000000+0 9.59002-12 6.13761-129936 8454    8
 2.506900+4 0.000000+0 3.69988-13 2.36792-13 2.507000+4 0.000000+09936 8454    9
 0.000000+0 0.000000+0 2.507100+4 0.000000+0 0.000000+0 0.000000+09936 8454   10
 2.507200+4 0.000000+0 3.89464-18 2.49257-18 2.606600+4 0.000000+09936 8454   11
 1.710000-7 1.094400-7 2.606700+4 0.000000+0 5.440010-8 3.481610-89936 8454   12
 2.606800+4 0.000000+0 1.060000-8 6.784010-9 2.606900+4 0.000000+09936 8454   13
 1.400000-9 8.96002-10 2.607000+4 0.000000+0 1.20000-10 7.68002-119936 8454   14
 2.607100+4 0.000000+0 6.38001-12 4.08321-12 2.607200+4 0.000000+09936 8454   15
 2.05997-13 1.31838-13 2.607300+4 0.000000+0 0.000000+0 0.000000+09936 8454   16
 2.607400+4 0.000000+0 0.000000+0 0.000000+0 2.607600+4 0.000000+09936 8454   17
 0.000000+0 0.000000+0 2.706600+4 0.000000+0 9.830020-7 6.291210-79936 8454   18
 2.706700+4 0.000000+0 8.960020-7 5.734410-7 2.706800+4 0.000000+09936 8454   19
 5.290010-7 3.385610-7 2.706900+4 0.000000+0 2.200000-7 1.408000-79936 8454   20
 2.707000+4 0.000000+0 6.220010-8 3.980810-8 2.707100+4 0.000000+09936 8454   21
 1.110000-8 7.104010-9 2.707200+4 0.000000+0 1.230000-9 7.87202-109936 8454   22
 2.707300+4 0.000000+0 8.45002-11 5.40801-11 2.707400+4 0.000000+09936 8454   23
 3.91001-12 2.50241-12 2.707500+4 0.000000+0 9.98002-14 6.38721-149936 8454   24
 2.707600+4 0.000000+0 0.000000+0 0.000000+0 2.707700+4 0.000000+09936 8454   25
 4.86009-17 3.11046-17 2.806600+4 0.000000+0 4.190010-7 2.681610-79936 8454   26
 2.806700+4 0.000000+0 1.020000-6 6.528010-7 2.806800+4 0.000000+09936 8454   27
